Designator,Mid X,Mid Y,Layer,Rotation
IC1,57.16,21.07,Top,0.0
IC4,58.52,32.91,Top,270.0
S1,99.06,33.94,Top,0.0
S29,115.35,33.94,Top,180.0
S30,28.54,33.94,Top,0.0
